City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
Assiut,EG,27.18,31.18,89.60,29,0,17.22,clear sky,0.0,0.0
Salalah,OM,17.02,54.09,84.20,83,75,5.82,broken clouds,0.0,0.0
Nome,US,64.50,-165.41,42.01,93,90,8.05,overcast clouds,0.0,0.0
Grindavik,IS,63.84,-22.43,44.60,93,90,28.86,light rain,0.0,0.0
Hithadhoo,MV,-0.60,73.08,83.89,78,14,10.89,light rain,0.0,0.0
San Policarpo,PH,12.18,125.51,82.80,82,58,9.42,broken clouds,0.0,0.0
Ust-Nera,RU,64.57,143.20,45.10,74,63,2.48,broken clouds,0.0,0.0
Kogon,UZ,39.72,64.55,91.40,24,0,6.93,clear sky,0.0,0.0
Visby,SE,57.64,18.30,64.00,63,99,8.05,overcast clouds,0.0,0.0
Pran Buri,TH,12.38,99.91,82.18,78,88,6.11,overcast clouds,0.0,0.0
Gorontalo,ID,0.54,123.06,75.87,88,29,1.88,scattered clouds,0.0,0.0
Arraial do Cabo,BR,-22.97,-42.03,75.20,57,40,20.8,scattered clouds,0.0,0.0
George Town,MY,5.41,100.34,84.20,88,20,5.82,few clouds,0.0,0.0
Cochrane,CA,51.18,-114.47,55.99,39,1,3.36,clear sky,0.0,0.0
Sitka,US,57.05,-135.33,46.40,75,1,4.7,clear sky,0.0,0.0
Bambanglipuro,ID,-7.95,110.28,74.97,89,100,5.28,light rain,0.0,0.0
Yerbogachën,RU,61.28,108.01,36.45,93,100,13.8,light rain,0.0,0.0
Alice,US,27.75,-98.07,84.20,66,1,9.17,clear sky,0.0,0.0
Zhigansk,RU,66.77,123.37,32.76,93,91,24.38,overcast clouds,0.0,0.0
Banda Aceh,ID,5.56,95.32,82.33,82,98,6.69,light rain,0.0,0.0
Abrau-Dyurso,RU,44.69,37.59,71.60,64,11,11.18,few clouds,0.0,0.0
Husavik,IS,66.04,-17.34,53.60,62,75,41.38,broken clouds,0.0,0.0
Samarinda,ID,-0.50,117.15,76.98,94,98,1.05,light rain,0.0,0.0
Kulhudhuffushi,MV,6.62,73.07,84.54,79,100,15.68,light rain,0.0,0.0
Klaksvík,FO,62.23,-6.59,50.00,71,89,14.99,overcast clouds,0.0,0.0
Abay,KZ,49.63,72.85,51.80,62,0,8.95,clear sky,0.0,0.0
Tongliao,CN,43.61,122.27,58.37,62,0,10.36,clear sky,0.0,0.0
Sant Julià de Loria,AD,42.46,1.48,72.00,68,91,3.85,light rain,0.0,0.0
George Town,MY,5.41,100.34,84.20,88,20,5.82,few clouds,0.0,0.0
Havøysund,NO,71.00,24.66,51.80,87,75,1.12,light intensity drizzle,0.0,0.0
Amga,RU,60.90,131.96,57.94,52,76,5.21,broken clouds,0.0,0.0
Virginia Beach,US,36.85,-75.98,80.01,73,75,8.05,broken clouds,0.0,0.0
Puerto Carreño,CO,6.19,-67.49,77.00,88,75,5.82,broken clouds,0.0,0.0
Mahibadhoo,MV,3.78,72.97,83.66,78,94,12.91,light rain,0.0,0.0
Douentza,ML,15.00,-2.95,94.78,25,99,13.89,overcast clouds,0.0,0.0
Jamestown,US,42.10,-79.24,78.01,56,1,10.29,clear sky,0.0,0.0
Las Matas de Farfán,DO,18.87,-71.52,89.53,44,100,5.39,overcast clouds,0.0,0.0
Cabaiguán,CU,22.08,-79.50,89.60,66,20,5.82,few clouds,0.0,0.0
Malé,MV,4.17,73.51,84.20,83,75,14.99,thunderstorm,0.0,0.0
Ciudad del Carmen,MX,18.63,-91.83,86.00,62,20,12.75,few clouds,0.0,0.0
