City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Pitimbu,BR,82.4,broken clouds,-7.47,-34.81,Reserva do Abiaí
Bara,NG,82.92,overcast clouds,10.37,10.73,NA
Pundaguitan,PH,83.57,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
Pozo Colorado,PY,77.14,clear sky,-23.49,-58.8,Hospedaje la Amistad
Takoradze,GH,81.28,overcast clouds,4.88,-1.76,Raybow International Hotel
Malino,PH,80.6,scattered clouds,15.13,120.67,Ponsing-Pining Marnat Resort
Acapulco de Juárez,MX,84.2,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
Matagami,CA,82.4,scattered clouds,49.75,-77.63,Hôtel Matagami
Buluang,PH,78.94,light rain,13.31,123.34,NA
Saint Anthony,US,75.0,overcast clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
Tevaitoa,PF,82.9,overcast clouds,-16.78,-151.5,Hôtel Raiatea Lodge
Las Cruces,US,81.0,clear sky,32.31,-106.78,SpringHill Suites by Marriott Las Cruces
Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
Urucará,BR,82.42,moderate rain,-2.54,-57.76,Pousada Maria Bonita
Maumere,ID,80.44,overcast clouds,-8.62,122.21,Sylvia Hotel
Omboué,GA,79.27,light rain,-1.57,9.26,Hotel Olako
Puerto Escondido,MX,84.2,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
Albany,US,77.0,scattered clouds,42.6,-73.97,NA
Banda Aceh,ID,81.27,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
George Town,MY,84.2,few clouds,5.41,100.34,Cititel Penang
Mbini,GQ,80.6,scattered clouds,1.57,9.61,NA
Kasongo-Lunda,CD,77.2,overcast clouds,-6.47,16.82,NA
Jamestown,US,84.99,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
Ailigandí,PA,84.99,light rain,9.23,-78.02,akwa reef lodge
La Libertad,EC,77.0,few clouds,-2.23,-80.9,Playa Canela Hotel Boutique
Coahuayana Viejo,MX,80.6,clear sky,18.73,-103.68,Hotel Los Arcos
Arrecife,ES,77.0,clear sky,28.96,-13.55,Hotel Lancelot
Ca Mau,VN,81.34,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
Aracaju,BR,84.2,few clouds,-10.91,-37.07,HOTEL FÊNIX
Ponta do Sol,PT,78.8,few clouds,32.67,-17.1,Hotel do Campo
Santa Clara,CU,80.6,light rain,22.4,-79.97,El Carmen
Loreto,MX,79.9,clear sky,22.27,-101.97,Loretour
Nanning,CN,77.0,broken clouds,22.82,108.32,Nanning Travelling With Hostel
Lisala,CD,76.66,clear sky,2.15,21.52,NA
Chumphon,TH,75.9,overcast clouds,10.33,98.83,บ้านอิงน้ำ โฮมสเตย์
Dwārka,IN,82.72,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
Wanning,CN,81.14,overcast clouds,18.8,110.4,Paradise Hotel
Lodja,CD,75.54,clear sky,-3.48,23.43,NA
Irecê,BR,82.99,overcast clouds,-11.3,-41.86,RADAR INN HOTEL
Thanh Hoa,VN,82.49,overcast clouds,19.8,105.77,KHÁCH SẠN NGỌC LY 8
Crossville,US,84.0,few clouds,35.95,-85.03,Hampton Inn Crossville
Kapaa,US,77.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Acaraú,BR,82.54,clear sky,-2.89,-40.12,castelo pizzaria
Dingle,PH,79.74,clear sky,11.0,122.67,Camp Pasica
Meulaboh,ID,78.4,light rain,4.14,96.13,Kost Pria
Tuy Hoa,VN,81.77,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
Olinda,BR,82.4,broken clouds,-8.01,-34.86,Hotel 5 Sóis
Mayor Pablo Lagerenza,PY,83.53,clear sky,-19.93,-60.77,NA
Bandarbeyla,SO,83.8,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
Zhezkazgan,KZ,78.84,clear sky,47.8,67.71,Kvartiry Posutochno.
Mitú,CO,80.98,moderate rain,1.2,-70.17,NA
Mumford,GH,81.07,overcast clouds,5.26,-0.76,Spanish Villa
Gbarnga,LR,75.4,moderate rain,7.0,-9.47,Passion Hotel 2
Harper,LR,80.56,overcast clouds,4.38,-7.72,Cape View Guest House
Lindi,TZ,75.2,few clouds,-10.0,39.72,Lindi paradise house
Los Llanos de Aridane,ES,78.01,few clouds,28.66,-17.92,Valle Aridane
Puerto Ayora,EC,84.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
Buin,CL,82.4,scattered clouds,-33.73,-70.75,Paihuen
Gwadar,PK,84.24,clear sky,25.12,62.33,Sadaf Resort
Puerto Baquerizo Moreno,EC,82.4,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
Andros Town,BS,81.37,light rain,24.7,-77.77,Hanks place
Silver City,US,75.2,clear sky,32.77,-108.28,Copper Manor Motel
Bengkulu,ID,78.33,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
Djebeniana,TN,75.2,broken clouds,35.03,10.91,maison belmabrouk
São Gabriel da Cachoeira,BR,80.6,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
Abu Kamal,SY,76.41,clear sky,34.45,40.92,NA
Mata,PT,77.29,scattered clouds,40.68,-7.46,Solar dos Pedrosos
Butaritari,KI,82.4,overcast clouds,3.07,172.79,Isles Sunset Lodge
Biak,ID,78.08,overcast clouds,-0.91,122.88,Kost Ariz
Labis,MY,76.82,scattered clouds,2.38,103.02,Labis Sunrise Farm
Labuan,MY,82.4,broken clouds,5.28,115.24,Tiara Labuan Hotel
Marsh Harbour,BS,76.75,moderate rain,26.54,-77.06,Abaco Beach Resort
Merrill,US,77.0,scattered clouds,45.18,-89.68,Prairie Motel
Kavieng,PG,82.44,broken clouds,-2.57,150.8,Nusa Island Retreat
Māngrol,IN,82.45,clear sky,21.12,70.12,Hotel The Royal Honours
Luganville,VU,75.33,scattered clouds,-15.53,167.17,The Espiritu Hotel
Atuona,PF,81.1,broken clouds,-9.8,-139.03,Villa Enata
Avera,US,82.99,broken clouds,33.19,-82.53,NA
Sola,VU,81.19,light rain,-13.88,167.55,Leumerus Bungalows
Lavaca,US,84.99,overcast clouds,28.61,-96.63,Holiday Inn Express & Suites Port Lavaca
Tabou,CI,80.44,broken clouds,4.42,-7.35,hotêl doufoulougou
Vila,PT,79.0,clear sky,42.03,-8.16,Hotel Castrum Villae
Ixtapa,MX,82.4,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
Bubaque,GW,79.43,clear sky,11.28,-15.83,Casa Dora
Faanui,PF,82.04,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Hirara,JP,77.52,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
La Cruz,MX,82.0,clear sky,23.92,-106.9,Enedina Guadalupe Aguilar López
Micheweni,TZ,78.46,light rain,-4.97,39.83,NA
Wukari,NG,78.66,overcast clouds,7.85,9.78,Elimtop
Pathein,MM,82.83,clear sky,16.78,94.73,Pathein Hotel
Mitsamiouli,KM,79.57,clear sky,-11.38,43.28,Foyer ADM
Yenagoa,NG,77.74,overcast clouds,4.92,6.26,Amba Hotels Limited
Bouna,CI,80.6,moderate rain,9.27,-3.0,Hotel Reserve
Broome,US,78.01,clear sky,42.25,-75.83,Chenango Valley State Park
Santa Rosalía,MX,80.31,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
Soyo,AO,79.39,overcast clouds,-6.13,12.37,Hotel Mpampa
Verín,ES,78.01,clear sky,41.94,-7.44,Parador de Verín
Medford,US,77.0,clear sky,42.33,-122.88,Hampton Inn Medford
Awjilah,LY,79.27,clear sky,29.11,21.29,NA
Kieta,PG,79.3,overcast clouds,-6.22,155.63,NA
Kloulklubed,PW,77.0,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
Denpasar,ID,82.4,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
Kimbe,PG,75.4,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
Gamba,GA,79.03,overcast clouds,-2.65,10.0,NA
Labuhan,ID,80.91,overcast clouds,-6.88,112.21,bador sepret
Businga,CD,76.75,few clouds,3.33,20.88,NA
Balabac,PH,83.12,clear sky,7.99,117.06,Sing and Swing Lodge
Port Blair,IN,83.79,overcast clouds,11.67,92.75,Hotel Sentinel
Poum,NC,75.07,broken clouds,-20.23,164.02,Gîte kajeon
Kokopo,PG,77.54,scattered clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
Eyl,SO,83.62,scattered clouds,7.98,49.82,Amiin Hotel
Marabu,MY,78.8,broken clouds,4.41,114.01,"Mega Hotel, Miri"
Jalu,LY,79.92,clear sky,29.03,21.55,Jalu Hotel
Hobyo,SO,82.8,clear sky,5.35,48.53,Osmani Hotel
Marzuq,YE,82.51,overcast clouds,14.4,46.47,NA
Hong Kong,HK,80.01,moderate rain,22.29,114.16,Mini Hotel Central
Kashgar,CN,75.2,clear sky,39.45,75.98,帕米尔青年旅舍
