City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Salalah,OM,84.2,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
Hithadhoo,MV,83.89,light rain,-0.6,73.08,Scoop Guest House
San Policarpo,PH,82.8,broken clouds,12.18,125.51,Zal-Ann Beach Resort
Pran Buri,TH,82.18,overcast clouds,12.38,99.91,Waterside Resort
Gorontalo,ID,75.87,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
Arraial do Cabo,BR,75.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
George Town,MY,84.2,few clouds,5.41,100.34,Cititel Penang
Alice,US,84.2,clear sky,27.75,-98.07,Holiday Inn Express & Suites Alice
Banda Aceh,ID,82.33,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
Samarinda,ID,76.98,light rain,-0.5,117.15,Aston Samarinda Hotel & Convention Center
Kulhudhuffushi,MV,84.54,light rain,6.62,73.07,Haajy Guest House 1
George Town,MY,84.2,few clouds,5.41,100.34,Cititel Penang
Virginia Beach,US,80.01,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
Puerto Carreño,CO,77.0,broken clouds,6.19,-67.49,Casa Hotel Victoria
Mahibadhoo,MV,83.66,light rain,3.78,72.97,Omadhoo Inn
Jamestown,US,78.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
Malé,MV,84.2,thunderstorm,4.17,73.51,Hotel Octave Maldives
Coahuayana Viejo,MX,78.8,clear sky,18.73,-103.68,Hotel Los Arcos
Kindu,CD,79.09,scattered clouds,-2.95,25.95,Hotel Karibu
Mehrān,IR,82.4,clear sky,33.12,46.16,زائرسرای نور
Thinadhoo,MV,84.43,few clouds,0.53,72.93,NA
Caucayá,CO,81.64,moderate rain,-0.19,-74.78,la casona de juancho
Savannah Bight,HN,83.91,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
Arrondissement de Bernay,FR,75.99,scattered clouds,49.17,0.67,L’escale du Bohain
Pismo Beach,US,75.0,fog,35.14,-120.64,SeaCrest OceanFront Hotel
Merauke,ID,77.16,scattered clouds,-8.47,140.33,NA
Gudāri,IN,83.62,overcast clouds,19.35,83.78,Tirupati Hotel
Bria,CF,76.57,light rain,6.54,21.99,NA
Coruripe,BR,84.76,light rain,-10.13,-36.18,Pousada e Hotel Litoral Sul
Tivaouane,SN,82.4,few clouds,14.95,-16.81,Keur sokhna aida toumbou
Pimentel,PE,78.8,overcast clouds,-6.84,-79.93,Casona Del Muelle
Dingle,PH,80.53,scattered clouds,11.0,122.67,Camp Pasica
Trincomalee,LK,82.92,scattered clouds,8.57,81.23,Welcombe Hotel
Kumul,CN,77.0,clear sky,42.8,93.45,Laoyutang Resort
Meulaboh,ID,80.58,overcast clouds,4.14,96.13,Kost Pria
Salinópolis,BR,84.94,scattered clouds,-0.61,-47.36,Hotel Salinópolis
Arrondissement de Saint-Denis,FR,79.0,scattered clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
Wattegama,LK,80.6,scattered clouds,6.8,81.48,NA
