City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2020-05-23 13:58:34,-46.6,168.33,49.23,81,100,6.02
1,Port Alfred,ZA,2020-05-23 14:02:46,-33.59,26.89,66.99,78,0,1.99
2,Broome,US,2020-05-23 14:02:46,42.25,-75.83,66.0,93,75,6.93
3,Bredasdorp,ZA,2020-05-23 14:02:46,-34.53,20.04,73.4,5,0,14.99
4,Atuona,PF,2020-05-23 14:02:46,-9.8,-139.03,80.28,78,49,17.16
5,Ravar,IR,2020-05-23 14:02:47,31.27,56.81,89.94,9,0,12.82
6,East London,ZA,2020-05-23 14:02:47,-33.02,27.91,68.0,60,0,10.29
7,Plerin,FR,2020-05-23 14:02:47,48.54,-2.78,64.99,55,75,11.41
8,Labuan,MY,2020-05-23 14:02:47,5.28,115.24,82.4,94,75,1.12
9,Butaritari,KI,2020-05-23 13:58:33,3.07,172.79,82.89,76,100,11.3
10,Dahod,IN,2020-05-23 14:02:47,22.83,74.27,95.61,11,0,6.82
11,Saldanha,ZA,2020-05-23 14:02:47,-33.01,17.94,71.6,56,0,6.93
12,Ashington,GB,2020-05-23 14:02:48,50.93,-0.39,62.01,67,20,29.97
13,Yerofey Pavlovich,RU,2020-05-23 14:02:48,53.97,121.97,41.79,69,79,5.99
14,Isangel,VU,2020-05-23 14:02:48,-19.55,169.27,71.28,76,100,6.69
15,Cap Malheureux,MU,2020-05-23 14:02:48,-19.98,57.61,73.99,68,0,4.0
16,Cape Town,ZA,2020-05-23 14:02:09,-33.93,18.42,71.01,68,20,11.41
17,Murgab,TM,2020-05-23 14:02:48,37.5,61.97,96.8,14,0,6.93
18,Barrow,US,2020-05-23 14:02:49,71.29,-156.79,30.2,86,20,16.11
19,Ailigandi,PA,2020-05-23 14:02:49,9.23,-78.02,85.28,69,88,1.86
20,Salalah,OM,2020-05-23 14:02:49,17.02,54.09,89.6,75,75,11.41
21,Saint-Philippe,RE,2020-05-23 14:02:49,-21.36,55.77,75.2,64,53,20.8
22,Rikitea,PF,2020-05-23 13:58:27,-23.12,-134.97,71.26,63,44,19.86
23,Puerto Ayora,EC,2020-05-23 14:02:49,-0.74,-90.35,75.99,88,66,4.0
24,Arraial Do Cabo,BR,2020-05-23 13:58:32,-22.97,-42.03,86.0,58,59,6.93
25,Quatre Cocos,MU,2020-05-23 14:02:50,-20.21,57.76,75.2,64,40,9.17
26,Batagay-Alyta,RU,2020-05-23 14:02:50,67.8,130.41,41.52,71,92,1.81
27,Bowen,AU,2020-05-23 14:02:50,-20.02,148.23,55.99,82,100,8.05
28,Provideniya,RU,2020-05-23 14:02:50,64.38,-173.3,37.09,88,100,5.59
29,Georgetown,MY,2020-05-23 13:57:57,5.41,100.34,84.2,89,20,3.0
30,Megion,RU,2020-05-23 14:02:50,61.03,76.11,64.4,68,69,11.18
31,Iqaluit,CA,2020-05-23 14:00:12,63.75,-68.51,26.6,68,90,20.8
32,Hermanus,ZA,2020-05-23 14:02:52,-34.42,19.23,70.0,59,0,4.0
33,Tuktoyaktuk,CA,2020-05-23 13:58:28,69.45,-133.04,26.6,92,5,12.75
34,Naze,JP,2020-05-23 14:02:53,28.37,129.48,73.4,83,90,17.22
35,Lavrentiya,RU,2020-05-23 13:58:33,65.58,-171.0,34.21,95,100,3.8
36,Ushuaia,AR,2020-05-23 14:01:02,-54.8,-68.3,42.8,87,75,3.36
